"Time","Outer Diameter","Inner Diameter"
"0.0","221.6","181.64"
"0.5279998779296875","221.6","181.64"
"1.0160000324249268","221.6","181.64"
"1.5290000438690186","221.64","181.76"
"2.0329999923706055","221.8","181.84"
"2.562000036239624","221.8","181.88"
"3.062999963760376","215.4","175.32"
"3.560999870300293","222.0","182.0"
"4.075000047683716","215.52","175.52"
"4.579999923706055","215.56","175.52"
"5.111000061035156","215.52","175.64"
"5.5959999561309814","215.64","175.76"
"6.101000070571899","215.8","175.76"
"6.628999948501587","215.8","175.84"
"7.125999927520752","215.88","175.84"
"7.647000074386597","215.84","175.8"
"8.139999866485596","215.84","175.84"
"8.641000032424927","216.04","175.96"
"9.171000003814697","216.04","175.96"
"9.678999900817871","216.0","175.92"
"10.171000003814697","216.08","176.0"
"10.680000066757202","221.24","181.36"
"11.180000066757202","216.24","176.16"
"11.694999933242798","221.44","181.36"
"12.20199990272522","216.36","176.2"
"12.708999872207642","221.52","181.36"
"13.211999893188477","221.48","181.48"
"13.723000049591064","221.56","181.4"
"14.244999885559082","221.72","181.56"
"14.746999979019165","221.76","181.6"
"15.260999917984009","216.68","176.28"
"15.764999866485596","221.72","181.52"
"16.277999877929688","221.76","181.6"
"16.764999866485596","221.88","181.64"
"17.292999982833862","222.0","181.72"
"17.7979998588562","222.0","181.84"
"18.295000076293945","222.0","181.84"
"18.796000003814697","222.0","181.8"
"19.312000036239624","222.0","181.8"
"19.810999870300293","222.0","182.0"
"20.32699990272522","222.0","181.8"
"20.828999996185303","222.04","181.8"
"21.34500002861023","222.08","181.92"
"21.861999988555908","222.08","182.08"
"22.361000061035156","222.04","182.04"
"22.868000030517578","222.2","182.08"
"23.371999979019165","222.16","182.0"
"23.881999969482422","222.2","182.04"
"24.41100001335144","222.24","182.04"
"24.897000074386597","222.2","182.04"
"25.417999982833862","222.16","182.04"
"25.912999868392944","222.16","182.08"
"26.414999961853027","222.16","182.12"
"26.90499997138977","222.08","182.16"
"27.414000034332275","222.08","182.12"
"27.937000036239624","217.0","176.92"
"28.4229998588562","216.88","176.96"
"28.920000076293945","216.88","176.96"
"29.437000036239624","216.84","176.96"
"29.937999963760376","216.84","177.16"
"30.44000005722046","216.8","177.08"
"30.95199990272522","216.72","177.2"
"31.44000005722046","216.64","177.28"
"31.944999933242798","216.64","177.32"
"32.44799995422363","216.6","177.24"
"32.93599987030029","216.56","177.36"
"33.437999963760376","210.8","171.28"
"33.95700001716614","210.68","171.28"
"34.45899987220764","210.6","171.36"
"34.95199990272522","210.52","171.36"
"35.45799994468689","210.36","171.28"
"35.9689998626709","210.32","171.44"
"36.480000019073486","211.4","172.12"
"36.986000061035156","211.52","172.12"
"37.49000000953674","211.36","172.12"
"38.00399994850159","211.24","172.08"
"38.48399996757507","211.12","172.08"
"38.986000061035156","211.12","172.12"
"39.49199986457825","211.08","172.16"
"39.990999937057495","211.04","172.2"
"40.50600004196167","211.2","172.28"
"40.99199986457825","211.12","172.2"
"41.50499987602234","211.08","172.2"
"41.990999937057495","210.92","172.16"
"42.507999897003174","210.84","172.2"
"43.00499987602234","210.8","172.04"
"43.50499987602234","210.72","171.92"
"43.99499988555908","210.8","172.0"
"44.50099992752075","210.72","172.12"
"45.003000020980835","210.64","172.08"
"45.50600004196167","203.96","165.32"
"46.007999897003174","203.8","165.4"
"46.50499987602234","203.96","165.32"
"47.00600004196167","203.8","165.16"
"47.5","203.92","165.04"
"48.01300001144409","204.0","165.16"
"48.5","204.04","165.04"
"49.00699996948242","204.12","165.04"
"49.50699996948242","204.04","165.12"
"50.014999866485596","204.16","164.96"
"50.520999908447266","204.04","165.04"
"51.007999897003174","204.16","165.08"
"51.50399994850159","222.44","182.8"
"52.00699996948242","204.28","165.04"
"52.5220000743866","215.88","176.68"
"53.009000062942505","215.72","176.76"
"53.5220000743866","209.68","170.52"
"54.00600004196167","209.72","170.4"
"54.5220000743866","222.4","183.12"
"55.02499985694885","222.52","183.2"
"55.50699996948242","210.68","171.2"
"56.01900005340576","228.24","188.52"
"56.52300000190735","223.16","183.56"
"57.009000062942505","222.48","183.16"
"57.526999950408936","222.48","182.96"
"58.02799987792969","222.52","183.08"
"58.51699995994568","222.56","183.04"
"59.02499985694885","222.52","183.08"
"59.526999950408936","222.56","183.08"
"60.009000062942505","222.68","183.16"
"60.526999950408936","222.64","183.16"
"61.03099989891052","222.76","183.0"
"61.53200006484985","222.6","182.84"
"62.026000022888184","227.72","188.08"
"62.545000076293945","227.8","188.2"
"63.04200005531311","222.6","182.92"
"63.545000076293945","221.28","181.68"
"64.05799984931946","221.24","181.52"
"64.56399989128113","221.48","181.56"
"65.06900000572205","221.52","181.56"
"65.56200003623962","221.56","181.6"
"66.07399988174438","221.68","181.8"
"66.57599997520447","221.72","181.84"
"67.07999992370605","221.96","181.84"
"67.58999991416931","216.16","176.88"
"68.09999990463257","203.56","165.92"
"68.60899996757507","203.72","165.84"
"69.12400007247925","203.72","165.76"
"69.64100003242493","203.88","165.92"
"70.15100002288818","203.88","165.84"
"70.66199994087219","203.88","165.72"
"71.17499995231628","203.96","165.84"
"71.68700003623962","204.24","166.0"
"72.19899988174438","204.2","165.88"
"72.72099995613098","204.36","165.96"
"73.2189998626709","204.6","166.24"
"73.71300005912781","204.68","166.36"
"74.21399998664856","204.68","166.56"
"74.70300006866455","204.68","166.56"
